modelo,videoCards,processors,ramMemories,storageMemories,firstSATAS_eM2,secondSATAS_eM2,screens,wirelessCards,operatingSystems
Titanium W155 IRON,1,2,3,8,4,1,1,2,3
Titanium G1513 X,1,1,3,8,4,4,1,1,3
Titanium G1513 XTI,1,1,3,8,4,4,1,1,3
FullRange G175 IRON V4,1,1,3,8,4,1,1,2,3
Titanium G1511 IRON,1,1,3,8,4,1,1,1,3
Titanium W1511 Navy,1,1,3,8,4,1,1,2,3
FullRange W175 IRON V4,1,1,3,8,4,1,1,2,3
Titanium W1511 IRON,1,1,3,8,4,1,1,2,3
Titanium G1513 MX,1,1,3,8,4,4,1,1,3
FullRange W1711 IRON,1,1,3,8,4,1,1,3,3
FullRange G1711 IRON,1,1,3,8,4,1,1,3,3
Titanium G1513 MXTI,1,1,3,8,4,4,1,1,3
Titanium G1544 IRON V4,1,1,3,8,4,4,1,1,3
Titanium G1555 MX,1,1,3,8,4,4,1,1,3
Titanium G1540 LITE,1,1,3,8,4,1,1,1,3
Titanium W1540 LITE,1,1,3,8,4,1,1,1,3
Titanium W1545 IRON V4,1,1,5,8,4,4,1,2,3
Titanium G1545 IRON V4,1,1,4,8,4,4,1,2,3
Titanium W1556 MX,1,1,3,8,4,4,1,1,3
Titanium G1556 MX,1,1,3,8,4,4,1,1,3
FullRange W1745 IRON V4,1,1,5,8,4,4,2,2,3
FullRange G1745 IRON V4,1,1,4,8,4,4,2,2,3
Titanium G1546 IRON V4,1,2,4,8,4,4,3,2,3
Titanium W1546 IRON V4,1,2,4,8,4,4,3,2,3
FullRange G1746 IRON V4,1,1,4,8,4,4,1,2,3
FullRange W1746 IRON V4,1,1,5,8,4,4,1,2,3
FullRange G1743 IRON V4,2,2,5,7,4,4,2,1,3
FullRange W1743 IRON V4,2,2,4,7,4,4,2,1,3
FullRange G1843 IRON V4,2,2,5,8,4,4,2,1,3
FullRange W1843 IRON V4,2,2,4,7,4,4,2,1,3
